GID	GENENAME
69312	ostta01g02890
69313	ostta01g02895
69314	ostta01g02910
69315	ostta01g02920
69316	ostta01g02930
69317	ostta01g02940
69318	ostta01g02950
69319	ostta01g02960
69320	ostta01g02970
69321	ostta01g02980
69322	ostta01g02990
69323	ostta01g03000
69324	ostta01g03010
69325	ostta01g03020
69326	ostta01g03030
69327	ostta01g03040
69328	ostta01g03050
69329	ostta01g03060
69330	ostta01g03070
69331	ostta01g03080
69332	ostta01g03090
69333	ostta01g03100
69334	ostta01g03110
69335	ostta01g03120
69336	ostta01g03130
69337	ostta01g03140
69338	ostta01g03150
69339	ostta01g03160
69340	ostta01g03170
69341	ostta01g03180
69342	ostta01g03190
69343	ostta01g03200
69344	ostta01g03210
69345	ostta01g03220
69346	ostta01g03230
69347	ostta01g03240
69348	ostta01g03250
69349	ostta01g03260
69350	ostta01g03270
69351	ostta01g03280
69352	ostta01g03290
69353	ostta01g03300
69354	ostta01g03310
69355	ostta01g03320
69356	ostta01g03330
69357	ostta01g03340
69358	ostta01g03350
69359	ostta01g03360
69360	ostta01g03370
69361	ostta01g03380
69362	ostta01g03390
69363	ostta01g03400
69364	ostta01g03410
69365	ostta01g03420
69366	ostta01g03430
69367	ostta01g03440
69368	ostta01g03450
69369	ostta01g03460
69370	ostta01g03470
69371	ostta01g03480
69372	ostta01g03490
69373	ostta01g03495
69374	ostta01g03500
69375	ostta01g03510
69376	ostta01g03520
69377	ostta01g03530
69378	ostta01g03540
69379	ostta01g03550
69380	ostta01g03560
69381	ostta01g03570
69382	ostta01g03580
69383	ostta01g03590
69384	ostta01g03600
69385	ostta01g03610
69386	ostta01g03620
69387	ostta01g03630
69388	ostta01g03640
69389	ostta01g03650
69390	ostta01g03660
69391	ostta01g03670
69392	ostta01g03680
69393	ostta01g03690
69394	ostta01g03700
69395	ostta01g03710
69396	ostta01g03720
69397	ostta01g03730
69398	ostta01g03740
69399	ostta01g03750
69400	ostta01g03760
69401	ostta01g03770
69402	ostta01g03780
69403	ostta01g03790
69404	ostta01g03800
69405	ostta01g03810
69406	ostta01g03820
69407	ostta01g03830
69408	ostta01g03840
69409	ostta01g03850
69410	ostta01g03860
69411	ostta01g03870
69412	ostta01g03880
69413	ostta01g03890
69414	ostta01g03900
69415	ostta01g03910
69416	ostta01g03920
69417	ostta01g03930
69418	ostta01g03940
69419	ostta01g03950
69420	ostta01g03960
69421	ostta01g03970
69422	ostta01g03980
69423	ostta01g03990
69424	ostta01g04000
69425	ostta01g04010
69426	ostta01g04020
69427	ostta01g04030
69428	ostta01g04040
69429	ostta01g04050
69430	ostta01g04060
69431	ostta01g04070
69432	ostta01g04080
69433	ostta01g04090
69434	ostta01g04100
69435	ostta01g04110
69436	ostta01g04120
69437	ostta01g04130
69438	ostta01g04140
69439	ostta01g04150
69440	ostta01g04160
69441	ostta01g04170
69442	ostta01g04180
69443	ostta01g04190
69444	ostta01g04200
69445	ostta01g04210
69446	ostta01g04230
69447	ostta01g04240
69448	ostta01g04250
69449	ostta01g04260
69450	ostta01g04270
69451	ostta01g04275
69452	ostta01g04280
69453	ostta01g04290
69454	ostta01g04300
69455	ostta01g04310
69456	ostta01g04320
69457	ostta01g04330
69458	ostta01g04340
69459	ostta01g04350
69460	ostta01g04360
69461	ostta01g04370
69462	ostta01g04380
69463	ostta01g04390
69464	ostta01g04400
69465	ostta01g04410
69466	ostta01g04420
69467	ostta01g04430
69468	ostta01g04440
69469	ostta01g04450
69470	ostta01g04460
69471	ostta01g04470
69472	ostta01g04480
69473	ostta01g04490
69474	ostta01g04500
69475	ostta01g04510
69476	ostta01g04520
69477	ostta01g04530
69478	ostta01g04540
69479	ostta01g04550
69480	ostta01g04560
69481	ostta01g04570
69482	ostta01g04580
69483	ostta01g04585
69484	ostta01g04590
69485	ostta01g04600
69486	ostta01g04610
69487	ostta01g04620
69488	ostta01g04630
69489	ostta01g04640
69490	ostta01g04650
69491	ostta01g04660
69492	ostta01g04670
69493	ostta01g04680
69494	ostta01g04690
69495	ostta01g04700
69496	ostta01g04710
69497	ostta01g04720
69498	ostta01g04730
69499	ostta01g04740
69500	ostta01g04750
69501	ostta01g04760
69502	ostta01g04770
69503	ostta01g04780
69504	ostta01g04790
69505	ostta01g04800
69506	ostta01g04810
69507	ostta01g04820
69508	ostta01g04830
69509	ostta01g04840
69510	ostta01g04850
69511	ostta01g04860
69512	ostta01g04870
69513	ostta01g04880
