Cre01.g044100.t1.2	AMB3
Cre01.g044800.t1.2	PFL1
Cre01.g045000.t1.2	PRL9
Cre01.g045350.t1.2	FAP155
Cre01.g045600.t1.1	SRR12
Cre01.g045650.t1.2	ZNJ3
Cre01.g045700.t1.1	CAT2
Cre01.g047700.t1.2	CYN40
Cre01.g047750.t1.2	RPL18a
Cre01.g047800.t1.1	GRX6
Cre01.g047950.t1.1	IFT27
Cre01.g048750.t1.2	PPR7
Cre01.g048950.t1.2	PYR5
Cre01.g049500.t1.2	COX2B
Cre01.g049600.t1.2	CGLD22
Cre01.g050100.t1.2	DPD1
Cre01.g050350.t1.1	RBL6
Cre01.g050400.t1.2	TIM22C
Cre01.g050400.t2.1	TIM22C
Cre01.g050500.t1.1	PPR1
Cre01.g051050.t1.2	FAP225
Cre01.g051250.t1.2	DLC4
Cre01.g051400.t1.2	ERD2A
Cre01.g051400.t2.1	ERD2A
Cre01.g051800.t1.1	AST2
Cre01.g051900.t1.2	RIP1
Cre01.g051950.t1.2	ASP2
Cre01.g052100.t1.2	PRPL18
Cre01.g052150.t1.1	ANK2
Cre01.g052300.t1.1	E2F1
Cre01.g052350.t1.1	MRPL20
Cre01.g052400.t1.2	CPLD43
Cre01.g052950.t1.1	PSO2
Cre01.g053000.t1.2	GPD2
Cre01.g053150.t1.2	GPD3
Cre01.g053150.t2.1	GPD3
Cre01.g053300.t1.1	AIH1
Cre01.g054150.t1.2	NTR4
Cre01.g055200.t1.2	CPL7
Cre01.g055453.t1.1	ALS2	ALS2
Cre01.g055550.t1.2	COX11
Cre01.g058521.t1.1	GTR6
Cre01.g062172.t1.1	HBV1	HBV1
Cre01.g063267.t1.1	BLP1	BLP1
Cre01.g066187.t1.1	ZRT4	ZRT4
Cre01.g066917.t1.1	LHCBM1	LHCBM1
Cre01.g068012.t1.1	PPR5	PPR5
Cre01.g069107.t1.1	COX191
Cre01.g071662.t1.1	ACS1	ACS1
Cre02.g073200.t1.2	THD1
Cre02.g073500.t1.1	FAP241
Cre02.g073650.t1.2	PRP19
Cre02.g073650.t2.1	PRP19
Cre02.g073700.t1.2	UPD3
Cre02.g073700.t2.1	UPD3
Cre02.g073750.t1.2	KLP1
Cre02.g073850.t1.2	CGL54
Cre02.g074000.t1.1	POC18
Cre02.g074000.t2.1	POC18
Cre02.g074150.t1.1	COP5
Cre02.g074150.t2.1	COP5
Cre02.g074600.t1.1	CGL60
Cre02.g074800.t1.1	CYG9
Cre02.g074800.t2.1	CYG9
Cre02.g075050.t1.2	PTA1
Cre02.g075150.t1.2	RPB2
Cre02.g075150.t2.1	RPB2
Cre02.g075350.t1.2	CNK1
Cre02.g075350.t2.1	CNK1
Cre02.g075350.t3.1	CNK1
Cre02.g075700.t1.2	RPL19
Cre02.g076250.t1.1	EFG1
Cre02.g076300.t1.1	UPD2
Cre02.g076350.t1.2	ATPvB
Cre02.g076400.t1.2	VPS25
Cre02.g076750.t1.1	NUOAF1
Cre02.g076900.t1.1	CGK2
Cre02.g077100.t1.2	GSH1
Cre02.g077150.t1.1	CPLD14
Cre02.g077300.t1.2	NOP1
Cre02.g077350.t1.2	HDH1
Cre02.g077500.t1.2	TRS23
Cre02.g077600.t1.2	FAP51
Cre02.g077750.t1.2	FAP211
Cre02.g077850.t1.2	FAP212
Cre02.g078300.t1.1	GPX1
Cre02.g078550.t1.2	FAP210
Cre02.g078600.t1.2	RSP8
Cre02.g078750.t1.1	PUS3
Cre02.g078858.t1.1	PSN1	PSN1
Cre02.g079300.t1.2	VPS4
Cre02.g079550.t1.2	DRP2
Cre02.g079700.t1.2	PYR2
Cre02.g079800.t1.2	ASA6
Cre02.g080200.t1.2	TRK1
Cre02.g080650.t1.2	HSP90B
Cre02.g080700.t1.2	BIP1
Cre02.g080900.t1.2	PRX4
Cre02.g081050.t1.2	FAP24
Cre02.g081400.t1.2	BCA1
Cre02.g082350.t1.1	CUT1
Cre02.g082350.t2.1	CUT1
Cre02.g082500.t1.1	PSAN
Cre02.g082550.t1.2	ZEP1
Cre02.g082700.t1.2	COX15
Cre02.g082750.t1.2	PSBX
Cre02.g083100.t1.2	PRL1
Cre02.g083700.t1.1	LSP1
Cre02.g083950.t1.1	PSRP3
Cre02.g084050.t1.2	SEC62
Cre02.g084350.t1.2	CGLD1
Cre02.g085450.t1.2	CPX1
Cre02.g085850.t1.1	ARS6
Cre02.g086050.t1.1	PUS4
Cre02.g086100.t1.2	CGL40
Cre02.g086650.t1.2	SMC2
Cre02.g086700.t1.2	COG7
Cre02.g087400.t1.2	ZIP14
Cre02.g087700.t1.2	APX1
Cre02.g087800.t1.1	PTK10
Cre02.g087850.t1.1	PTK19
Cre02.g088000.t1.2	PHB1
Cre02.g088400.t1.2	DEG1
Cre02.g088400.t2.1	DEG1
Cre02.g088600.t1.2	ACL2
Cre02.g088900.t1.2	PRPL1
Cre02.g089100.t1.2	COPD1
Cre02.g089950.t1.2	IFT20
Cre02.g090050.t1.1	FAP170
Cre02.g090150.t1.2	PAN3
Cre02.g090700.t1.1	MAPKKK8
Cre02.g090850.t1.1	CLPB3
Cre02.g091050.t1.2	ALAD1
Cre02.g091100.t1.2	RPL15
Cre02.g091150.t1.1	SEC24A
Cre02.g091400.t1.1	CLPB2
Cre02.g091700.t1.2	RIB72
Cre02.g091950.t1.1	CYG45
Cre02.g092000.t1.1	DEG2
Cre02.g092500.t1.1	UPF1
Cre02.g092600.t1.2	CPX2
Cre02.g092700.t1.2	FAP45
Cre02.g092800.t1.2	FAP136
Cre02.g092850.t1.2	DLC1
Cre02.g092900.t1.2	GUA1
Cre02.g093450.t1.2	FBA2
Cre02.g093500.t1.2	SSD1
Cre02.g093500.t2.1	SSD1
Cre02.g093550.t1.1	CYG44
Cre02.g093750.t1.2	NRX2
Cre02.g093800.t1.2	NRX3
Cre02.g093800.t2.1	NRX3
Cre02.g094100.t1.2	NRX1
Cre02.g094300.t1.2	FUO1
Cre02.g094450.t1.2	PHC21
Cre02.g095000.t1.2	PLA2
Cre02.g095070.t1.1	SRP19	SRP19
Cre02.g095072.t1.1	FAP144	FAP144
Cre02.g095074.t1.1	VPS11	VPS11
Cre02.g095076.t1.1	MFT10	MFT10
Cre02.g095092.t1.1	PSY1	PSY1
Cre02.g095095.t1.1	PHC12
Cre02.g095102.t1.1	VPS5C	VPS5C
Cre02.g095110.t2.1	FAP255
Cre02.g095111.t1.1	VSR1	VSR1
Cre02.g095120.t2.1	ANK18
Cre02.g095126.t1.1	DPE2	DPE2
Cre02.g095147.t1.1	GTR5	GTR5
Cre02.g095149.t1.1	FAP143	FAP143
Cre02.g096150.t1.2	MSD1
Cre02.g096250.t1.2	FMO9
Cre02.g096300.t1.1	CCM1
Cre02.g096300.t2.1	CCM1
Cre02.g097200.t1.1	SRR14
Cre02.g097650.t1.2	RPN6
Cre02.g097900.t1.2	AST3
Cre02.g098450.t1.2	EIF2G
Cre02.g098850.t1.1	NTR2
Cre02.g099300.t1.2	ANK21
Cre02.g099350.t1.1	SRR8
Cre02.g099400.t1.1	ELG31
Cre02.g099850.t1.1	PDC2
Cre02.g100200.t1.2	NUOP3
Cre02.g100450.t1.1	CYG20
Cre02.g100500.t1.1	CYG22
Cre02.g100500.t2.1	CYG22
Cre02.g101350.t1.2	RPL10a
Cre02.g101400.t1.2	CHC1
Cre02.g101500.t1.2	MRS1
Cre02.g101950.t1.2	TMU2
Cre02.g102000.t1.2	ARL5
Cre02.g102250.t1.2	RPS3
Cre02.g102350.t1.2	APG3
Cre02.g102800.t1.2	RPB8
Cre02.g103250.t1.1	MRP5
Cre02.g103850.t1.2	HIS3
Cre02.g103900.t1.1	MAPKKK11
Cre02.g103950.t1.2	FAP100
Cre02.g104350.t1.2	PDI5
Cre02.g104350.t2.1	PDI5
Cre02.g104500.t1.1	CDJ4
Cre02.g104800.t1.1	HTV1
Cre02.g104900.t1.2	FAP204
Cre02.g105300.t1.1	ANK19
Cre02.g105400.t1.1	CDC14
Cre02.g105500.t1.2	AOD1
Cre02.g105600.t1.1	EYE3
Cre02.g105600.t2.1	EYE3
Cre02.g105950.t1.2	FAP174
Cre02.g106250.t1.2	LAL2
Cre02.g106400.t1.1	LCA1
Cre02.g106600.t1.2	RPS19
Cre02.g106750.t1.2	MRPS9
Cre02.g107050.t1.1	DHC5
Cre02.g107300.t1.2	DPS1
Cre02.g107350.t1.1	DHC4
Cre02.g107450.t1.2	ATS2
Cre02.g107800.t1.1	CNK9
Cre02.g107850.t1.2	MOB1
Cre02.g108200.t1.1	CGL80
Cre02.g108400.t1.2	DAD1
Cre02.g108450.t1.2	FAP280
Cre02.g108550.t1.1	AOC3
Cre02.g108800.t1.1	DNJ26
Cre02.g108850.t1.2	PRPL17
