TID	TRANSNAME
70132	ostta11g00420T0
70133	ostta11g00430T0
70134	ostta11g00440T0
70135	ostta11g00450T0
70136	ostta11g00460T0
70137	ostta11g00470T0
70138	ostta11g00480T0
70139	ostta11g00490T0
70140	ostta11g00500T0
70141	ostta11g00510T0
70142	ostta11g00520T0
70143	ostta11g00530T0
70144	ostta11g00540T0
70145	ostta11g00550T0
70146	ostta11g00560T0
70147	ostta11g00570T0
70148	ostta11g00580T0
70149	ostta11g00590T0
70150	ostta11g00600T0
70151	ostta11g00605T0
70152	ostta11g00610T0
70153	ostta11g00620T0
70154	ostta11g00630T0
70155	ostta11g00640T0
70156	ostta11g00650T0
70157	ostta11g00660T0
70158	ostta11g00670T0
70159	ostta11g00680T0
70160	ostta11g00690T0
70161	ostta11g00700T0
70162	ostta11g00710T0
70163	ostta11g00720T0
70164	ostta11g00730T0
70165	ostta11g00740T0
70166	ostta11g00750T0
70167	ostta11g00760T0
70168	ostta11g00770T0
70169	ostta11g00780T0
70170	ostta11g00790T0
70171	ostta11g00800T0
70172	ostta11g00810T0
70173	ostta11g00820T0
70174	ostta11g00830T0
70175	ostta11g00840T0
70176	ostta11g00850T0
70177	ostta11g00860T0
70178	ostta11g00870T0
70179	ostta11g00880T0
70180	ostta11g00890T0
70181	ostta11g00900T0
70182	ostta11g00910T0
70183	ostta11g00920T0
70184	ostta11g00930T0
70185	ostta11g00940T0
70186	ostta11g00950T0
70187	ostta11g00960T0
70188	ostta11g00970T0
70189	ostta11g00980T0
70190	ostta11g00985T0
70191	ostta11g00990T0
70192	ostta11g01000T0
70193	ostta11g01010T0
70194	ostta11g01020T0
70195	ostta11g01030T0
70196	ostta11g01040T0
70197	ostta11g01045T0
70198	ostta11g01050T0
70199	ostta11g01060T0
70200	ostta11g01070T0
70201	ostta11g01080T0
70202	ostta11g01090T0
70203	ostta11g01100T0
70204	ostta11g01110T0
70205	ostta11g01120T0
70206	ostta11g01130T0
70207	ostta11g01140T0
70208	ostta11g01150T0
70209	ostta11g01160T0
70210	ostta11g01170T0
70211	ostta11g01180T0
70212	ostta11g01190T0
70213	ostta11g01200T0
70214	ostta11g01210T0
70215	ostta11g01220T0
70216	ostta11g01230T0
70217	ostta11g01240T0
70218	ostta11g01250T0
70219	ostta11g01260T0
70220	ostta11g01270T0
70221	ostta11g01275T0
70222	ostta11g01280T0
70223	ostta11g01290T0
70224	ostta11g01300T0
70225	ostta11g01310T0
70226	ostta11g01320T0
70227	ostta11g01325T0
70228	ostta11g01330T0
70229	ostta11g01340T0
70230	ostta11g01350T0
70231	ostta11g01360T0
70232	ostta11g01370T0
70233	ostta11g01380T0
70234	ostta11g01390T0
70235	ostta11g01400T0
70236	ostta11g01410T0
70237	ostta11g01420T0
70238	ostta11g01430T0
70239	ostta11g01440T0
70240	ostta11g01450T0
70241	ostta11g01455T0
70242	ostta11g01460T0
70243	ostta11g01470T0
70244	ostta11g01480T0
70245	ostta11g01490T0
70246	ostta11g01500T0
70247	ostta11g01510T0
70248	ostta11g01520T0
70249	ostta11g01530T0
70250	ostta11g01540T0
70251	ostta11g01550T0
70252	ostta11g01560T0
70253	ostta11g01570T0
70254	ostta11g01580T0
70255	ostta11g01590T0
70256	ostta11g01600T0
70257	ostta11g01610T0
70258	ostta11g01620T0
70259	ostta11g01630T0
70260	ostta11g01640T0
70261	ostta11g01650T0
70262	ostta11g01660T0
70263	ostta11g01670T0
70264	ostta11g01680T0
70265	ostta11g01690T0
70266	ostta11g01700T0
70267	ostta11g01710T0
70268	ostta11g01720T0
70269	ostta11g01730T0
70270	ostta11g01740T0
70271	ostta11g01750T0
70272	ostta11g01760T0
70273	ostta11g01770T0
70274	ostta11g01780T0
70275	ostta11g01790T0
70276	ostta11g01800T0
70277	ostta11g01810T0
70278	ostta11g01820T0
70279	ostta11g01830T0
70280	ostta11g01840T0
70281	ostta11g01850T0
70282	ostta11g01860T0
70283	ostta11g01870T0
70284	ostta11g01880T0
70285	ostta11g01890T0
70286	ostta11g01895T0
70287	ostta11g01900T0
70288	ostta11g01910T0
70289	ostta11g01915T0
70290	ostta11g01920T0
70291	ostta11g01930T0
70292	ostta11g01940T0
70293	ostta11g01950T0
70294	ostta11g01960T0
70295	ostta11g01970T0
70296	ostta11g01980T0
70297	ostta11g01990T0
70298	ostta11g02000T0
70299	ostta11g02010T0
70300	ostta11g02020T0
70301	ostta11g02030T0
70302	ostta11g02040T0
70303	ostta11g02050T0
70304	ostta11g02060T0
70305	ostta11g02070T0
70306	ostta11g02080T0
70307	ostta11g02090T0
70308	ostta11g02095T0
70309	ostta11g02100T0
70310	ostta11g02110T0
70311	ostta11g02120T0
70312	ostta11g02140T0
70313	ostta11g02150T0
70314	ostta11g02160T0
70315	ostta11g02170T0
70316	ostta11g02180T0
70317	ostta11g02190T0
70318	ostta11g02200T0
70319	ostta11g02210T0
70320	ostta11g02220T0
70321	ostta11g02230T0
70322	ostta11g02240T0
70323	ostta11g02250T0
70324	ostta11g02260T0
70325	ostta11g02270T0
70326	ostta11g02280T0
70327	ostta11g02290T0
70328	ostta11g02300T0
70329	ostta11g02310T0
70330	ostta11g02320T0
70331	ostta11g02330T0
70332	ostta11g02340T0
70333	ostta11g02350T0
70334	ostta11g02360T0
70335	ostta11g02370T0
70336	ostta11g02380T0
70337	ostta11g02400T0
70338	ostta11g02410T0
70339	ostta11g02420T0
70340	ostta11g02440T0
70341	ostta11g02450T0
70342	ostta11g02460T0
70343	ostta11g02470T0
70344	ostta11g02480T0
70345	ostta11g02490T0
70346	ostta11g02500T0
70347	ostta11g02505T0
70348	ostta11g02510T0
70349	ostta11g02520T0
70350	ostta11g02530T0
70351	ostta11g02540T0
70352	ostta11g02550T0
70353	ostta11g02560T0
70354	ostta11g02570T0
70355	ostta11g02575T0
70356	ostta11g02580T0
70357	ostta11g02590T0
70358	ostta11g02600T0
70359	ostta11g02610T0
70360	ostta11g02620T0
70361	ostta11g02630T0
70362	ostta11g02640T0
70363	ostta11g02650T0
70364	ostta11g02660T0
70365	ostta11g02670T0
70366	ostta11g02680T0
70367	ostta11g02690T0
70368	ostta11g02700T0
70369	ostta11g02710T0
70370	ostta11g02720T0
70371	ostta11g02730T0
70372	ostta11g02740T0
70373	ostta11g02750T0
70374	ostta11g02760T0
70375	ostta11g02770T0
70376	ostta11g02780T0
70377	ostta11g02790T0
70378	ostta11g02800T0
70379	ostta11g02810T0
70380	ostta11g02820T0
70381	ostta11g02830T0
70382	ostta11g02850T0
70383	ostta11g02860T0
70384	ostta11g02870T0
70385	ostta11g02880T0
70386	ostta11g02890T0
70387	ostta11g02900T0
70388	ostta11g02910T0
70389	ostta11g02920T0
70390	ostta11g02930T0
70391	ostta11g02940T0
70392	ostta11g02950T0
70393	ostta11g02960T0
70394	ostta11g02970T0
70395	ostta11g02980T0
70396	ostta11g02990T0
70397	ostta11g03000T0
70398	ostta11g03010T0
70399	ostta11g03020T0
70400	ostta11g03030T0
70401	ostta11g03040T0
70402	ostta11g03050T0
70403	ostta11g03070T0
70404	ostta11g03080T0
70405	ostta11g03090T0
70406	ostta11g03100T0
70407	ostta11g03110T0
70408	ostta11g03120T0
70409	ostta11g03130T0
70410	ostta11g03140T0
70411	ostta11g03150T0
70412	ostta11g03160T0
70413	ostta11g03170T0
70414	ostta11g03180T0
70415	ostta11g03190T0
70416	ostta11g03200T0
70417	ostta11g03210T0
70418	ostta11g03220T0
70419	ostta11g03230T0
70420	ostta11g03240T0
70421	ostta11g03250T0
70422	ostta11g03260T0
70423	ostta11g03270T0
70424	ostta11g03280T0
70425	ostta11g03290T0
70426	ostta11g03300T0
70427	ostta12g00010T0
70428	ostta12g00020T0
70429	ostta12g00030T0
70430	ostta12g00040T0
70431	ostta12g00050T0
70432	ostta12g00060T0
70433	ostta12g00070T0
70434	ostta12g00080T0
70435	ostta12g00090T0
70436	ostta12g00100T0
70437	ostta12g00110T0
70438	ostta12g00120T0
70439	ostta12g00130T0
70440	ostta12g00140T0
70441	ostta12g00150T0
70442	ostta12g00160T0
70443	ostta12g00170T0
70444	ostta12g00180T0
70445	ostta12g00190T0
70446	ostta12g00200T0
70447	ostta12g00210T0
70448	ostta12g00220T0
70449	ostta12g00230T0
70450	ostta12g00240T0
70451	ostta12g00250T0
70452	ostta12g00260T0
70453	ostta12g00270T0
70454	ostta12g00280T0
70455	ostta12g00290T0
70456	ostta12g00300T0
70457	ostta12g00310T0
70458	ostta12g00320T0
70459	ostta12g00330T0
70460	ostta12g00340T0
70461	ostta12g00350T0
70462	ostta12g00360T0
70463	ostta12g00370T0
70464	ostta12g00380T0
70465	ostta12g00390T0
70466	ostta12g00400T0
70467	ostta12g00410T0
70468	ostta12g00420T0
70469	ostta12g00430T0
70470	ostta12g00440T0
70471	ostta12g00450T0
70472	ostta12g00460T0
70473	ostta12g00470T0
70474	ostta12g00480T0
70475	ostta12g00490T0
70476	ostta12g00500T0
70477	ostta12g00510T0
70478	ostta12g00520T0
70479	ostta12g00530T0
70480	ostta12g00540T0
70481	ostta12g00550T0
70482	ostta12g00560T0
70483	ostta12g00570T0
70484	ostta12g00580T0
70485	ostta12g00590T0
70486	ostta12g00600T0
70487	ostta12g00610T0
70488	ostta12g00620T0
70489	ostta12g00630T0
70490	ostta12g00640T0
70491	ostta12g00645T0
70492	ostta12g00650T0
70493	ostta12g00655T0
70494	ostta12g00660T0
70495	ostta12g00670T0
70496	ostta12g00680T0
70497	ostta12g00770T0
70498	ostta12g00780T0
70499	ostta12g00790T0
70500	ostta12g00800T0
70501	ostta12g00810T0
70502	ostta12g00820T0
70503	ostta12g00830T0
70504	ostta12g00850T0
70505	ostta12g00860T0
70506	ostta12g00870T0
70507	ostta12g00880T0
70508	ostta12g00890T0
70509	ostta12g00900T0
70510	ostta12g00910T0
70511	ostta12g00920T0
70512	ostta12g00065T0
70513	ostta12g00930T0
70514	ostta12g00940T0
70515	ostta12g00950T0
70516	ostta12g00960T0
70517	ostta12g00970T0
70518	ostta12g00980T0
70519	ostta12g00990T0
70520	ostta12g01000T0
70521	ostta12g01010T0
70522	ostta12g01020T0
70523	ostta12g01030T0
70524	ostta12g01040T0
70525	ostta12g01050T0
70526	ostta12g01060T0
70527	ostta12g01070T0
70528	ostta12g01080T0
70529	ostta12g01090T0
70530	ostta12g01110T0
70531	ostta12g01120T0
70532	ostta12g01130T0
70533	ostta12g01140T0
70534	ostta12g01150T0
70535	ostta12g01160T0
70536	ostta12g01170T0
70537	ostta12g01180T0
70538	ostta12g01190T0
70539	ostta12g01200T0
70540	ostta12g01210T0
70541	ostta12g01220T0
70542	ostta12g01230T0
70543	ostta12g01240T0
70544	ostta12g01250T0
70545	ostta12g01255T0
70546	ostta12g01260T0
70547	ostta12g01270T0
70548	ostta12g01280T0
70549	ostta12g01290T0
70550	ostta12g01300T0
70551	ostta12g01310T0
70552	ostta12g01320T0
70553	ostta12g01330T0
70554	ostta12g01340T0
70555	ostta12g01350T0
70556	ostta12g01360T0
70557	ostta12g01370T0
70558	ostta12g01380T0
70559	ostta12g01390T0
70560	ostta12g01400T0
70561	ostta12g01410T0
70562	ostta12g01420T0
70563	ostta12g01430T0
70564	ostta12g01440T0
70565	ostta12g01450T0
70566	ostta12g01460T0
70567	ostta12g01470T0
70568	ostta12g01480T0
70569	ostta12g01485T0
70570	ostta12g01490T0
70571	ostta12g01500T0
70572	ostta12g01510T0
70573	ostta12g01520T0
70574	ostta12g01530T0
70575	ostta12g01540T0
70576	ostta12g01550T0
70577	ostta12g01560T0
70578	ostta12g01570T0
70579	ostta12g01580T0
70580	ostta12g01590T0
70581	ostta12g01600T0
70582	ostta12g01610T0
70583	ostta12g01620T0
70584	ostta12g01630T0
70585	ostta12g01640T0
70586	ostta12g01650T0
70587	ostta12g01660T0
70588	ostta12g01670T0
70589	ostta12g01680T0
70590	ostta12g01690T0
70591	ostta12g01700T0
70592	ostta12g01710T0
70593	ostta12g01720T0
70594	ostta12g01730T0
70595	ostta12g01740T0
70596	ostta12g01750T0
70597	ostta12g01760T0
70598	ostta12g01770T0
70599	ostta12g01780T0
70600	ostta12g01790T0
70601	ostta12g01800T0
70602	ostta12g01810T0
70603	ostta12g01820T0
70604	ostta12g01830T0
70605	ostta12g01840T0
70606	ostta12g01850T0
70607	ostta12g01860T0
70608	ostta12g01870T0
70609	ostta12g01880T0
70610	ostta12g01890T0
70611	ostta12g01900T0
70612	ostta12g01910T0
70613	ostta12g01920T0
70614	ostta12g01930T0
70615	ostta12g01940T0
70616	ostta12g01950T0
70617	ostta12g01960T0
70618	ostta12g01965T0
70619	ostta12g01970T0
70620	ostta12g01980T0
70621	ostta12g01990T0
70622	ostta12g01995T0
70623	ostta12g02000T0
70624	ostta12g02010T0
70625	ostta12g02020T0
70626	ostta12g02040T0
70627	ostta12g02050T0
70628	ostta12g02060T0
70629	ostta12g02065T0
70630	ostta12g02070T0
70631	ostta12g02080T0
70632	ostta12g02090T0
70633	ostta12g02100T0
70634	ostta12g02110T0
70635	ostta12g02120T0
70636	ostta12g02130T0
70637	ostta12g02140T0
70638	ostta12g02150T0
70639	ostta12g02160T0
70640	ostta12g02170T0
70641	ostta12g02180T0
70642	ostta12g02190T0
70643	ostta12g02200T0
70644	ostta12g02210T0
70645	ostta12g02220T0
70646	ostta12g02230T0
70647	ostta12g02240T0
70648	ostta12g02250T0
70649	ostta12g02260T0
70650	ostta12g02270T0
70651	ostta12g02280T0
70652	ostta12g02290T0
70653	ostta12g02300T0
70654	ostta12g02310T0
70655	ostta12g02320T0
70656	ostta12g02330T0
70657	ostta12g02340T0
70658	ostta12g02350T0
70659	ostta12g02360T0
70660	ostta12g02370T0
70661	ostta12g02380T0
70662	ostta12g02390T0
70663	ostta12g02400T0
70664	ostta12g02410T0
70665	ostta12g02420T0
70666	ostta12g02430T0
70667	ostta12g02440T0
70668	ostta12g02450T0
70669	ostta12g02460T0
70670	ostta12g02470T0
70671	ostta12g02480T0
70672	ostta12g02485T0
70673	ostta12g02490T0
70674	ostta12g02500T0
70675	ostta12g02510T0
70676	ostta12g02520T0
70677	ostta12g02530T0
70678	ostta12g02540T0
70679	ostta12g02550T0
70680	ostta12g02560T0
70681	ostta12g02570T0
70682	ostta12g02580T0
70683	ostta12g02590T0
70684	ostta12g02600T0
70685	ostta12g02610T0
70686	ostta12g02620T0
70687	ostta12g02630T0
70688	ostta12g02640T0
70689	ostta12g02650T0
70690	ostta12g02660T0
70691	ostta12g02665T0
70692	ostta12g02670T0
70693	ostta12g02680T0
70694	ostta12g02690T0
70695	ostta12g02700T0
70696	ostta12g02710T0
70697	ostta12g02720T0
70698	ostta12g02730T0
70699	ostta12g02740T0
70700	ostta12g02750T0
70701	ostta12g02760T0
70702	ostta12g02770T0
70703	ostta12g02780T0
70704	ostta12g02790T0
70705	ostta12g02800T0
70706	ostta12g02805T0
70707	ostta12g02810T0
70708	ostta12g02820T0
70709	ostta12g02830T0
70710	ostta12g02840T0
70711	ostta12g02850T0
70712	ostta12g02860T0
70713	ostta12g02870T0
70714	ostta12g02880T0
70715	ostta12g02890T0
70716	ostta12g02900T0
70717	ostta12g02910T0
70718	ostta12g02920T0
70719	ostta12g02930T0
70720	ostta12g02940T0
70721	ostta12g02950T0
70722	ostta12g02960T0
70723	ostta12g02970T0
70724	ostta12g02980T0
70725	ostta12g02990T0
70726	ostta12g03000T0
70727	ostta12g03010T0
70728	ostta12g03030T0
70729	ostta12g03040T0
70730	ostta12g03050T0
70731	ostta12g03060T0
70732	ostta12g03070T0
70733	ostta12g03080T0
70734	ostta12g03090T0
70735	ostta12g03100T0
70736	ostta12g03110T0
70737	ostta12g03120T0
70738	ostta12g03130T0
70739	ostta12g03140T0
70740	ostta12g03150T0
70741	ostta12g03160T0
70742	ostta12g03170T0
70743	ostta12g03180T0
70744	ostta12g03190T0
70745	ostta12g03200T0
70746	ostta13g00010T0
70747	ostta13g00020T0
70748	ostta13g00030T0
70749	ostta13g00040T0
70750	ostta13g00050T0
70751	ostta13g00060T0
70752	ostta13g00070T0
70753	ostta13g00080T0
70754	ostta13g00090T0
70755	ostta13g00100T0
70756	ostta13g00110T0
70757	ostta13g00120T0
70758	ostta13g00130T0
70759	ostta13g00140T0
70760	ostta13g00150T0
70761	ostta13g00160T0
70762	ostta13g00170T0
70763	ostta13g00180T0
70764	ostta13g00190T0
70765	ostta13g00200T0
70766	ostta13g00210T0
70767	ostta13g00220T0
70768	ostta13g00230T0
70769	ostta13g00240T0
70770	ostta13g00250T0
70771	ostta13g00260T0
70772	ostta13g00270T0
70773	ostta13g00290T0
70774	ostta13g00300T0
70775	ostta13g00310T0
70776	ostta13g00320T0
70777	ostta13g00330T0
70778	ostta13g00340T0
70779	ostta13g00350T0
70780	ostta13g00360T0
70781	ostta13g00370T0
70782	ostta13g00380T0
70783	ostta13g00390T0
70784	ostta13g00400T0
70785	ostta13g00410T0
70786	ostta13g00420T0
70787	ostta13g00430T0
70788	ostta13g00440T0
70789	ostta13g00450T0
70790	ostta13g00460T0
70791	ostta13g00470T0
70792	ostta13g00480T0
70793	ostta13g00490T0
70794	ostta13g00500T0
70795	ostta13g00510T0
70796	ostta13g00520T0
70797	ostta13g00530T0
70798	ostta13g00540T0
70799	ostta13g00550T0
70800	ostta13g00560T0
70801	ostta13g00570T0
70802	ostta13g00580T0
70803	ostta13g00590T0
70804	ostta13g00600T0
70805	ostta13g00610T0
70806	ostta13g00620T0
70807	ostta13g00630T0
70808	ostta13g00640T0
70809	ostta13g00650T0
70810	ostta13g00660T0
70811	ostta13g00670T0
70812	ostta13g00680T0
70813	ostta13g00690T0
70814	ostta13g00700T0
70815	ostta13g00710T0
70816	ostta13g00720T0
70817	ostta13g00730T0
70818	ostta13g00740T0
70819	ostta13g00750T0
70820	ostta13g00760T0
70821	ostta13g00770T0
70822	ostta13g00780T0
70823	ostta13g00800T0
70824	ostta13g00810T0
70825	ostta13g00820T0
70826	ostta13g00825T0
70827	ostta13g00830T0
70828	ostta13g00840T0
70829	ostta13g00850T0
70830	ostta13g00860T0
70831	ostta13g00880T0
70832	ostta13g00885T0
70833	ostta13g00890T0
70834	ostta13g00900T0
70835	ostta13g00910T0
70836	ostta13g00920T0
70837	ostta13g00930T0
70838	ostta13g00940T0
70839	ostta13g00950T0
70840	ostta13g00960T0
70841	ostta13g00970T0
70842	ostta13g00980T0
70843	ostta13g00990T0
70844	ostta13g01000T0
70845	ostta13g01010T0
70846	ostta13g01020T0
70847	ostta13g01030T0
70848	ostta13g01040T0
70849	ostta13g01050T0
70850	ostta13g01060T0
70851	ostta13g01070T0
70852	ostta13g01080T0
70853	ostta13g01090T0
70854	ostta13g01100T0
70855	ostta13g01110T0
70856	ostta13g01120T0
70857	ostta13g01125T0
70858	ostta13g01130T0
70859	ostta13g01140T0
70860	ostta13g01150T0
70861	ostta13g01160T0
70862	ostta13g01170T0
70863	ostta13g01180T0
70864	ostta13g01190T0
70865	ostta13g01200T0
70866	ostta13g01210T0
70867	ostta13g01220T0
70868	ostta13g01230T0
70869	ostta13g01240T0
70870	ostta13g01250T0
70871	ostta13g01260T0
70872	ostta13g01270T0
70873	ostta13g01280T0
70874	ostta13g01290T0
70875	ostta13g01300T0
70876	ostta13g01310T0
70877	ostta13g01320T0
70878	ostta13g01330T0
70879	ostta13g01335T0
70880	ostta13g01340T0
70881	ostta13g01350T0
70882	ostta13g01360T0
70883	ostta13g01370T0
70884	ostta13g01375T0
70885	ostta13g01380T0
70886	ostta13g01390T0
70887	ostta13g01400T0
70888	ostta13g01410T0
70889	ostta13g01420T0
70890	ostta13g01430T0
70891	ostta13g01440T0
70892	ostta13g01450T0
70893	ostta13g01460T0
70894	ostta13g01470T0
70895	ostta13g01480T0
70896	ostta13g01490T0
70897	ostta13g01500T0
70898	ostta13g01510T0
70899	ostta13g01520T0
70900	ostta13g01530T0
70901	ostta13g01540T0
70902	ostta13g01550T0
70903	ostta13g01560T0
70904	ostta13g01570T0
70905	ostta13g01580T0
70906	ostta13g01590T0
70907	ostta13g01600T0
70908	ostta13g01610T0
70909	ostta13g01620T0
70910	ostta13g01630T0
70911	ostta13g01640T0
70912	ostta13g01650T0
70913	ostta13g01660T0
70914	ostta13g01670T0
70915	ostta13g01680T0
70916	ostta13g01690T0
70917	ostta13g01700T0
70918	ostta13g01710T0
70919	ostta13g01720T0
70920	ostta13g01730T0
70921	ostta13g01740T0
70922	ostta13g01750T0
70923	ostta13g01760T0
70924	ostta13g01770T0
70925	ostta13g01790T0
70926	ostta13g01800T0
70927	ostta13g01810T0
70928	ostta13g01815T0
70929	ostta13g01820T0
70930	ostta13g01830T0
70931	ostta13g01840T0
70932	ostta13g01850T0
70933	ostta13g01860T0
70934	ostta13g01870T0
70935	ostta13g01880T0
70936	ostta13g01890T0
70937	ostta13g01900T0
70938	ostta13g01905T0
70939	ostta13g01910T0
70940	ostta13g01920T0
70941	ostta13g01930T0
70942	ostta13g01940T0
70943	ostta13g01950T0
70944	ostta13g01960T0
70945	ostta13g01970T0
70946	ostta13g01980T0
70947	ostta13g01990T0
70948	ostta13g02000T0
70949	ostta13g02010T0
70950	ostta13g02020T0
70951	ostta13g02030T0
70952	ostta13g02040T0
70953	ostta13g02050T0
70954	ostta13g02060T0
70955	ostta13g02070T0
70956	ostta13g02080T0
70957	ostta13g02090T0
70958	ostta13g02100T0
70959	ostta13g02110T0
70960	ostta13g02120T0
70961	ostta13g02130T0
70962	ostta13g02140T0
70963	ostta13g02150T0
70964	ostta13g02160T0
70965	ostta13g02165T0
70966	ostta13g02170T0
70967	ostta13g02180T0
70968	ostta13g02190T0
70969	ostta13g02200T0
70970	ostta13g02210T0
70971	ostta13g02220T0
70972	ostta13g02230T0
70973	ostta13g02240T0
70974	ostta13g02250T0
70975	ostta13g02260T0
70976	ostta13g02270T0
70977	ostta13g02280T0
70978	ostta13g02290T0
70979	ostta13g02300T0
70980	ostta13g02310T0
70981	ostta13g02320T0
70982	ostta13g02330T0
70983	ostta13g02340T0
70984	ostta13g02350T0
70985	ostta13g02360T0
70986	ostta13g02370T0
70987	ostta13g02380T0
70988	ostta13g02390T0
70989	ostta13g02400T0
70990	ostta13g02410T0
70991	ostta13g02420T0
70992	ostta13g02430T0
70993	ostta13g02440T0
70994	ostta13g02450T0
70995	ostta13g02460T0
70996	ostta13g02470T0
70997	ostta13g02480T0
70998	ostta13g02490T0
70999	ostta13g02500T0
71000	ostta13g02510T0
71001	ostta13g02520T0
71002	ostta13g02530T0
71003	ostta13g02540T0
71004	ostta13g02550T0
71005	ostta13g02560T0
71006	ostta13g02570T0
71007	ostta13g02580T0
71008	ostta13g02590T0
71009	ostta13g02600T0
71010	ostta13g02610T0
71011	ostta13g02620T0
71012	ostta13g02630T0
71013	ostta13g02640T0
71014	ostta13g02650T0
71015	ostta13g02660T0
71016	ostta13g02670T0
71017	ostta13g02680T0
71018	ostta13g02690T0
71019	ostta13g02700T0
71020	ostta13g02710T0
71021	ostta13g02720T0
71022	ostta13g02730T0
71023	ostta13g02740T0
71024	ostta13g02750T0
71025	ostta13g02760T0
71026	ostta13g02770T0
71027	ostta13g02780T0
71028	ostta13g02790T0
71029	ostta13g02800T0
71030	ostta13g02810T0
71031	ostta13g02820T0
71032	ostta13g02830T0
71033	ostta13g02840T0
71034	ostta13g02850T0
71035	ostta13g02865T0
71036	ostta13g02870T0
71037	ostta13g02880T0
71038	ostta13g02890T0
71039	ostta13g02895T0
71040	ostta13g02900T0
71041	ostta13g02910T0
71042	ostta13g02920T0
71043	ostta13g02930T0
71044	ostta13g02940T0
71045	ostta13g02950T0
71046	ostta13g02960T0
71047	ostta13g02970T0
71048	ostta13g02980T0
71049	ostta13g02985T0
71050	ostta13g02990T0
71051	ostta13g03000T0
71052	ostta13g03010T0
71053	ostta13g03020T0
71054	ostta13g03030T0
71055	ostta13g03040T0
71056	ostta13g03050T0
71057	ostta13g03060T0
71058	ostta13g03070T0
71059	ostta13g03080T0
71060	ostta13g03090T0
71061	ostta14g00010T0
71062	ostta14g00020T0
71063	ostta14g00030T0
71064	ostta14g00040T0
71065	ostta14g00050T0
71066	ostta14g00055
71067	ostta14g00060T0
71068	ostta14g00066T0
71069	ostta14g00070T0
71070	ostta14g00075T0
71071	ostta14g00080T0
71072	ostta14g00090T0
71073	ostta14g00100T0
71074	ostta14g00110T0
71075	ostta14g00120T0
71076	ostta14g00130T0
71077	ostta14g00140T0
71078	ostta14g00150T0
71079	ostta14g00160T0
71080	ostta14g00170T0
71081	ostta14g00180T0
71082	ostta14g00185T0
71083	ostta14g00190T0
71084	ostta14g00200T0
71085	ostta14g00210T0
71086	ostta14g00220T0
71087	ostta14g00230T0
71088	ostta14g00240T0
71089	ostta14g00250T0
71090	ostta14g00260T0
71091	ostta14g00270T0
71092	ostta14g00280T0
71093	ostta14g00290T0
71094	ostta14g00300T0
71095	ostta14g00310T0
71096	ostta14g00310
71097	ostta14g00320T0
71098	ostta14g00330T0
71099	ostta14g00340T0
71100	ostta14g00350T0
71101	ostta14g00360T0
71102	ostta14g00370T0
71103	ostta14g00380T0
71104	ostta14g00390T0
71105	ostta14g00400T0
71106	ostta14g00410T0
71107	ostta14g00420T0
71108	ostta14g00430T0
71109	ostta14g00440T0
71110	ostta14g00450T0
71111	ostta14g00460T0
71112	ostta14g00470T0
71113	ostta14g00480T0
71114	ostta14g00490T0
71115	ostta14g00500T0
71116	ostta14g00510T0
71117	ostta14g00520T0
71118	ostta14g00525T0
71119	ostta14g00530T0
71120	ostta14g00540T0
71121	ostta14g00550T0
71122	ostta14g00560T0
71123	ostta14g00570T0
71124	ostta14g00580T0
71125	ostta14g00590T0
71126	ostta14g00600T0
71127	ostta14g00610T0
71128	ostta14g00620T0
71129	ostta14g00630T0
71130	ostta14g00640T0
71131	ostta14g00645T0
71132	ostta14g00650T0
71133	ostta14g00660T0
71134	ostta14g00670T0
71135	ostta14g00680T0
71136	ostta14g00690T0
71137	ostta14g00700T0
71138	ostta14g00710T0
71139	ostta14g00715T0
71140	ostta14g00720T0
71141	ostta14g00730T0
71142	ostta14g00740T0
71143	ostta14g00750T0
71144	ostta14g00760T0
71145	ostta14g00770T0
71146	ostta14g00780T0
71147	ostta14g00790T0
71148	ostta14g00795T0
71149	ostta14g00800T0
71150	ostta14g00810T0
71151	ostta14g00820T0
71152	ostta14g00830T0
71153	ostta14g00840T0
71154	ostta14g00850T0
71155	ostta14g00860T0
71156	ostta14g00870T0
71157	ostta14g00880T0
71158	ostta14g00890T0
71159	ostta14g00900T0
71160	ostta14g00910T0
71161	ostta14g00920T0
71162	ostta14g00930T0
71163	ostta14g00940T0
71164	ostta14g00950T0
71165	ostta14g00960T0
71166	ostta14g00970T0
71167	ostta14g00980T0
71168	ostta14g00990T0
71169	ostta14g01000T0
71170	ostta14g01010T0
71171	ostta14g01020T0
71172	ostta14g01030T0
71173	ostta14g01040T0
71174	ostta14g01050T0
71175	ostta14g01060T0
71176	ostta14g01070T0
71177	ostta14g01075T0
71178	ostta14g01080T0
71179	ostta14g01090T0
71180	ostta14g01100T0
71181	ostta14g01105T0
71182	ostta14g01110T0
71183	ostta14g01120T0
71184	ostta14g01130T0
71185	ostta14g01140T0
71186	ostta14g01150T0
71187	ostta14g01155T0
71188	ostta14g01157T0
71189	ostta14g01160T0
71190	ostta14g01170T0
71191	ostta14g00065T0
71192	ostta14g01180T0
71193	ostta14g01190T0
71194	ostta14g01200T0
71195	ostta14g01210T0
71196	ostta14g01220T0
71197	ostta14g01230T0
71198	ostta14g01240T0
71199	ostta14g01245T0
71200	ostta14g01250T0
71201	ostta14g01260T0
71202	ostta14g01270T0
71203	ostta14g01280T0
71204	ostta14g01290T0
71205	ostta14g01300T0
71206	ostta14g01310T0
71207	ostta14g01320T0
